서적명,작가명,출판사명,발행년도
토탈 아트:前衛藝術이란 무엇인가,헨리 에이드리언,正音文化社,1987
현대미술에서의 환원과 확산:李逸 美術評論集,이일,悅話堂,1991
사비나의 에로틱 갤러리,이명옥,해냄,2002
바로보는 한국의 현대미술,김달진,발언,2006
미학예술학 사전,다께우찌 도시우,미진사,1993
전시의 담론=모더니즘 이후 미술의 화두,윤난지,눈빛,2003
현대미술과 모더니즘론:형식주의.맑시즘.후기구조주의.포스트모더니즘의 관점,이영철,시각과 언어,1996
현대미술,Pradel Jean-Louis,생각의나무,2004
마음에 품는 현대미술 :한국현대화가 70명에 대한 에세이,김종근,Artblue,2009
현대미술의 풍경=Landscape of Modern Art,윤난지,한길아트,2007
현대미술의 변명:포스트모더니즘 미술가 25인과의 인터뷰,시겔 진,시각과언어,2000
한국의 행위미술가들 =Performance artist in Korea,이혁발,다빈치'기프트,2008
자코메티의 아틀리에,주네 장,열화당,2007
어느 미술관장의 회상:미술은 모든 사람의 것이다,이경성,시공사,1998
독일 미술관을 걷다,이현애,마로니에북스,2013
어느 예술가의 잠꼬대 :조각가 이일호의 미학 이야기,이일호 1947-,안나푸르나,2016
2016년 고려청자박물관 특별전 강진 사당리 고려청자 =Goryeo celadon of Sadang-ri kiln site Gangjin,고려청자박물관,국립중앙박물관,2016
글로컬리즘과 아시아의 현대미술,윤진섭 1955-,사문난적,2014
수상한 미술관 :李垠 장편소설,이은,웅진씽크빅,2009
인터뷰 아카이브,한국문화예술위원회.,한국문화예술위원회 아르코미술관,2016
21세기 회화이론 및 방법=(The)theories and methods in 21st century painting,박기웅,형설출판사,2005
2015년도 미술시장실태조사 =Survey on the art market 2015 :2014년 기준,,세종시,2015
The Drawings of Antonio Gaudi,Gaudi,The Drawing Center,1977
